Section,Item,Field,Description,Priority,Example / Current Value,Your Input
1. Studio Basics,Studio name,text,Brand name used across site and metadata,Must-have,Aureo,
1. Studio Basics,Tagline,text (≤80 chars),One-sentence promise shown in hero / OG,Must-have,We craft digital experiences that feel refined.,
1. Studio Basics,Description,text (≤160 chars),SEO meta description,Must-have,Aureo is a modern digital agency building bold brands and immersive products.,
1. Studio Basics,Domain,URL,Production domain name,Must-have,aureo.studio,
1. Studio Basics,Contact email,email,Primary inbox for inquiries,Must-have,hello@aureo.studio,
1. Studio Basics,Location,text,City or region shown in hero + footer,Must-have,IST · Remote-first,
1. Studio Basics,Timezone,text,Shown in availability line,Must-have,UTC+5:30 (IST),
1. Studio Basics,Founding year,number,Shown in hero + footer,Must-have,2026,
1. Studio Basics,Availability line,text,Live status banner text,Must-have,Open for Q3 2026 · 2 slots,
1. Studio Basics,Logo mark,SVG,Icon-only mark (light + dark),Must-have,,
1. Studio Basics,Logo wordmark,SVG,Full logotype (light + dark),Must-have,,
1. Studio Basics,Favicon,ICO/PNG 32px,Browser tab icon,Must-have,,
1. Studio Basics,Apple touch icon,PNG 180px,iOS home-screen icon,Must-have,,
1. Studio Basics,PWA icon,PNG 512px,Large app icon,Nice-to-have,,
1. Studio Basics,OG image,PNG 1200×630,Social share card (can auto-generate),Must-have,,
1. Studio Basics,Instagram handle,URL or @,Social link in footer,Nice-to-have,,
1. Studio Basics,LinkedIn handle,URL,Social link in footer,Nice-to-have,,
1. Studio Basics,GitHub handle,URL,Social link in footer,Nice-to-have,,
1. Studio Basics,X / Twitter handle,URL or @,Social link in footer,Nice-to-have,,
1. Studio Basics,Dribbble handle,URL,Social link in footer,Nice-to-have,,
1. Studio Basics,Behance handle,URL,Social link in footer,Nice-to-have,,
2. Founder / About,Founder name,text,Shown on About + FounderNote,Must-have,Adhil,
2. Founder / About,Founder photo,image 600×600 min,Square portrait or replace with avatar tile,Nice-to-have,,
2. Founder / About,Founder letter,text 400–800 words,The why-we-exist story for /about,Must-have,,
2. Founder / About,Principle 1,text (1 line),Studio principle shown in footer colophon,Must-have,Honest timelines over optimistic ones,
2. Founder / About,Principle 2,text (1 line),Studio principle shown in footer colophon,Must-have,One senior team — no juniors billed as seniors,
2. Founder / About,Principle 3,text (1 line),Studio principle shown in footer colophon,Must-have,Performance is a design decision,
2. Founder / About,Principle 4,text (1 line),Studio principle shown in footer colophon,Must-have,Ship — learn — iterate,
2. Founder / About,Past experience,text 100–300 words,Prior roles / notable projects (for About page),Must-have,,
3. Team,Keep /team page?,yes/no,Solo studios often drop this and fold into /about,Decision,,
3. Team,Member 1 name,text,If keeping team page,If applicable,,
3. Team,Member 1 role,text,Role / discipline,If applicable,,
3. Team,Member 1 bio,text (≤40 words),Short bio,If applicable,,
3. Team,Member 1 photo,image 600×600,Portrait,If applicable,,
3. Team,Member 1 socials,URL list,LinkedIn / GitHub / etc,If applicable,,
4. Services — Digital Marketing,Tagline,text (1 line),Short tagline on cards,Must-have,Performance campaigns that compound.,
4. Services — Digital Marketing,Description,text (~60 words),Card + SEO description,Must-have,,
4. Services — Digital Marketing,Intro,text (~80 words),Long-form intro on detail page,Must-have,,
4. Services — Digital Marketing,Sub-section 1 heading,text,Heading of /services/[slug] section 1,Must-have,Strategy first,
4. Services — Digital Marketing,Sub-section 1 body,text (~40 words),Body of section 1,Must-have,,
4. Services — Digital Marketing,Sub-section 2 heading,text,,Must-have,,
4. Services — Digital Marketing,Sub-section 2 body,text (~40 words),,Must-have,,
4. Services — Digital Marketing,Sub-section 3 heading,text,,Must-have,,
4. Services — Digital Marketing,Sub-section 3 body,text (~40 words),,Must-have,,
4. Services — Digital Marketing,Sub-section 4 heading,text,,Must-have,,
4. Services — Digital Marketing,Sub-section 4 body,text (~40 words),,Must-have,,
4. Services — Digital Marketing,Outcomes,list of 3–4 short phrases,Client-facing outcomes,Must-have,,
4. Services — Digital Marketing,Deliverables,list of 4–6 items,What's included,Must-have,,
4. Services — Digital Marketing,Tools,list of 4–6 items,Tool stack,Must-have,,
4. Services — Digital Marketing,Engagement line,text (1 sentence),Typical engagement duration/format,Must-have,"Typical engagement: 3–6 month retainer, kickoff sprint in the first two weeks.",
4. Services — Digital Marketing,Accent color,hex,Overrides default ink tone,Nice-to-have,#bfbfbc,
4. Services — Graphic Design,Tagline,text,,Must-have,Identities with weight and intention.,
